Ticker,Description,Exchange,Market Capitalization,Sector
AL,Air Lease Corporation,NYSE,4837734696.1170435,Finance
ALB,Albemarle Corporation,NYSE,18438546090.101604,Process Industries
ALBO,"Albireo Pharma, Inc.",NASDAQ,657803337.2379837,Health Technology
ALC,Alcon Inc.,NYSE,35098928196.25563,Health Technology
ALDX,"Aldeyra Therapeutics, Inc.",NASDAQ,686963914.7917695,Health Technology
ALE,"Allete, Inc.",NYSE,3472650304.774399,Utilities
ALEC,"Alector, Inc.",NASDAQ,1693457975.8905005,Health Technology
ALGM,"Allegro MicroSystems, Inc.",NASDAQ,5033700750.3807955,Electronic Technology
ALGN,"Align Technology, Inc.",NASDAQ,47611734172.418434,Health Technology
ALGS,"Aligos Therapeutics, Inc.",NASDAQ,987799039.7494358,Health Technology
ALGT,Allegiant Travel Company,NASDAQ,3461708972.5235524,Transportation
ALK,"Alaska Air Group, Inc.",NYSE,7880942444.684228,Transportation
ALKS,Alkermes plc,NASDAQ,3918236705.5431347,Health Technology
ALL,Allstate Corporation (The),NYSE,37129971268.837296,Finance
ALLE,Allegion plc,NYSE,12115550410.699694,Producer Manufacturing
ALLK,Allakos Inc.,NASDAQ,4920914090.095099,Health Technology
ALLO,"Allogene Therapeutics, Inc.",NASDAQ,3464860636.811664,Health Technology
ALLT,Allot Ltd.,NASDAQ,720925009.8503817,Electronic Technology
ALLY,Ally Financial Inc.,NYSE,18352395479.176975,Finance
ALNY,"Alnylam Pharmaceuticals, Inc.",NASDAQ,20792541473.49463,Health Technology
ALPN,"Alpine Immune Sciences, Inc.",NASDAQ,220016411.46666664,Health Technology
ALRM,"Alarm.com Holdings, Inc.",NASDAQ,4144363243.371501,Technology Services
ALSK,"Alaska Communications Systems Group, Inc.",NASDAQ,180189023.97597596,Communications
ALSN,"Allison Transmission Holdings, Inc.",NYSE,4233907298.273117,Producer Manufacturing
ALT,"Altimmune, Inc.",NASDAQ,613581537.0542245,Health Technology
ALTA,Altabancorp,NASDAQ,790176078.8073105,Finance
ALTG,Alta Equipment Group Inc.,NYSE,436351094.6455505,Distribution Services
ALTO,"Alto Ingredients, Inc.",NASDAQ,406441050.66944903,Process Industries
ALTR,Altair Engineering Inc.,NASDAQ,4830112190.36194,Technology Services
ALTU,Altitude Acquisition Corp.,NASDAQ,367499998.99897856,Finance
ALUS,Alussa Energy Acquisition Corp.,NYSE,361171889.9850895,Finance
ALV,"Autoliv, Inc.",NYSE,8411778584.828802,Producer Manufacturing
ALVR,"AlloVir, Inc.",NASDAQ,1218995480.6734898,Health Technology
ALXN,"Alexion Pharmaceuticals, Inc.",NASDAQ,39935966987.84114,Health Technology
ALXO,ALX Oncology Holdings Inc.,NASDAQ,2385228810.72376,Commercial Services
ALYA,Alithya Group inc.,NASDAQ,230664834.8529412,Technology Services
AM,Antero Midstream Corporation,NYSE,4759258131.581764,Industrial Services
AMAL,Amalgamated Financial Corp.,NASDAQ,480926440.48840207,Finance
AMAT,"Applied Materials, Inc.",NASDAQ,120424636833.62627,Producer Manufacturing
AMBA,"Ambarella, Inc.",NASDAQ,3552758214.7814302,Electronic Technology
AMBC,"Ambac Financial Group, Inc.",NYSE,728990245.9396225,Finance
AMC,"AMC Entertainment Holdings, Inc.",NYSE,29735496971.463528,Consumer Services
AMCR,Amcor plc,NYSE,17514768067.535526,Process Industries
AMCX,AMC Networks Inc.,NASDAQ,2593731553.090555,Consumer Services
AMD,"Advanced Micro Devices, Inc.",NASDAQ,102851524349.49089,Electronic Technology
AME,"AMETEK, Inc.",NYSE,30169591345.565712,Producer Manufacturing
AMED,Amedisys Inc,NASDAQ,7783689305.021097,Health Services
AMEH,"Apollo Medical Holdings, Inc.",NASDAQ,2940675506.7560267,Health Services
AMG,"Affiliated Managers Group, Inc.",NYSE,6187208275.504617,Finance
AMGN,Amgen Inc.,NASDAQ,137134549436.7538,Health Technology
AMHC,Amplitude Healthcare Acquisition Corporation,NASDAQ,124000003.9959718,Finance
AMK,"AssetMark Financial Holdings, Inc.",NYSE,1894085058.3471131,Finance
AMKR,"Amkor Technology, Inc.",NASDAQ,5604017196.06627,Electronic Technology
AMN,AMN Healthcare Services Inc AMN Healthcare Services Inc,NYSE,4435078755.190551,Commercial Services
AMP,"Ameriprise Financial, Inc.",NYSE,27430050679.614468,Finance
AMPG,"Amplitech Group, Inc.",NASDAQ,47092100.774193555,Electronic Technology
AMPH,"Amphastar Pharmaceuticals, Inc.",NASDAQ,960805042.6385483,Health Technology
AMPY,Amplify Energy Corp.,NYSE,155187568.24317616,Energy Minerals
AMR,"Alpha Metallurgical Resources, Inc.",NYSE,387294309.93759,Energy Minerals
AMRC,"Ameresco, Inc.",NYSE,3104936788.8795485,Industrial Services
AMRK,"A-Mark Precious Metals, Inc.",NASDAQ,540218699.0744878,Distribution Services
AMRS,"Amyris, Inc.",NASDAQ,4678635994.558457,Process Industries
AMRX,"Amneal Pharmaceuticals, Inc.",NYSE,1564354595.0359712,Health Technology
AMS,American Shared Hospital Services,NYSE ARCA,16184789.999999998,Health Services
AMSC,American Superconductor Corporation,NASDAQ,405962214.2234043,Producer Manufacturing
AMSF,"AMERISAFE, Inc.",NASDAQ,1145751854.8342776,Finance
AMST,Amesite Inc.,NASDAQ,53059162.61870504,Technology Services
AMSWA,"American Software, Inc.",NASDAQ,760132155.8164686,Technology Services
AMTB,Amerant Bancorp Inc.,NASDAQ,739604796.798144,Finance
AMTI,Applied Molecular Transport Inc.,NASDAQ,1629891808.8048506,Health Technology
AMTX,"Aemetis, Inc",NASDAQ,449540999.313402,Process Industries
AMWD,American Woodmark Corporation,NASDAQ,1393243992.3053017,Producer Manufacturing
AMWL,American Well Corporation,NYSE,3249122843.0722103,Technology Services
AMZN,"Amazon.com, Inc.",NASDAQ,1758526517261.5952,Retail Trade
AN,"AutoNation, Inc.",NYSE,7144192481.260007,Retail Trade
ANAB,"AnaptysBio, Inc.",NASDAQ,665892650.6272545,Health Technology
ANAT,"American National Group, Inc.",NASDAQ,4005356195.747322,Finance
ANDE,"The Andersons, Inc.",NASDAQ,987207825.4575164,Process Industries
ANET,"Arista Networks, Inc.",NYSE,27697950698.991894,Electronic Technology
ANF,Abercrombie & Fitch Company,NYSE,2482422525.7284665,Retail Trade
ANGI,Angi Inc.,NASDAQ,6839705272.083997,Technology Services
ANGN,Angion Biomedica Corp.,NASDAQ,404605946.6976744,Health Technology
ANGO,"AngioDynamics, Inc.",NASDAQ,971358734.9370629,Health Technology
ANIK,Anika Therapeutics Inc.,NASDAQ,575506551.0957136,Health Technology
ANIP,"ANI Pharmaceuticals, Inc.",NASDAQ,420035724.2197509,Health Technology
ANIX,"Anixa Biosciences, Inc.",NASDAQ,118302122.21549639,Health Technology
ANNX,"Annexon, Inc.",NASDAQ,916295496.3053564,Health Technology
ANSS,"ANSYS, Inc.",NASDAQ,28884646528.099117,Technology Services
ANTM,"Anthem, Inc.",NYSE,90397616712.40862,Health Services
ANVS,"Annovis Bio, Inc.",NYSE ARCA,742672309.3759024,Health Technology
ANY,Sphere 3D Corp.,NASDAQ,43649310.68240344,Technology Services
AON,Aon plc,NYSE,51921430790.08675,Finance
AONE,one,NYSE,268481243.02791625,Finance
AOS,A.O. Smith Corporation,NYSE,10598134589.321209,Producer Manufacturing
AOSL,Alpha and Omega Semiconductor Limited,NASDAQ,726117824.7467916,Electronic Technology
AOUT,"American Outdoor Brands, Inc.",NASDAQ,453510720.42022324,Consumer Durables
AP,Ampco-Pittsburgh Corporation,NYSE,112197588.5927673,Non-Energy Minerals
APA,APA Corporation,NASDAQ,7805138822.32371,Energy Minerals
APAM,Artisan Partners Asset Management Inc.,NYSE,3801554763.310945,Finance
APD,"Air Products and Chemicals, Inc.",NYSE,64778686041.88372,Process Industries
APDN,"Applied DNA Sciences, Inc.",NASDAQ,50381587.802710846,Health Technology
APEI,"American Public Education, Inc.",NASDAQ,542582194.9501889,Consumer Services
APEN,"Apollo Endosurgery, Inc.",NASDAQ,237915391.60270888,Health Technology
APG,APi Group Corporation,NYSE,4356089141.2253,Finance
APH,Amphenol Corporation,NYSE,39609969738.86036,Electronic Technology
APLS,"Apellis Pharmaceuticals, Inc.",NASDAQ,4838660949.239131,Health Technology
APLT,"Applied Therapeutics, Inc.",NASDAQ,585267611.5441115,Health Technology
APM,Aptorum Group Limited,NASDAQ,117354107.16501652,Health Technology
APO,"Apollo Global Management, Inc.",NYSE,23300311226.011982,Finance
APOG,"Apogee Enterprises, Inc.",NASDAQ,947216856.2861637,Producer Manufacturing
APPF,"AppFolio, Inc.",NASDAQ,5140016494.815655,Technology Services
APPH,"AppHarvest, Inc.",NASDAQ,1535880071.3273194,Process Industries
APPN,Appian Corporation,NASDAQ,9305507230.978104,Technology Services
APPS,"Digital Turbine, Inc.",NASDAQ,6305353697.392745,Technology Services
APR,"Apria, Inc.",NASDAQ,929979401.1408186,Health Services
APRE,"Aprea Therapeutics, Inc.",NASDAQ,102120504.15079366,Health Technology
APRN,"Blue Apron Holdings, Inc.",NYSE,75092367.51058823,Retail Trade
APSG,Apollo Strategic Growth Capital,NYSE,1007739300.4624747,Finance
APT,"Alpha Pro Tech, Ltd.",NYSE ARCA,101858396.82142857,Health Technology
APTO,"Aptose Biosciences, Inc.",NASDAQ,302407029.7902098,Health Technology
APTV,Aptiv PLC,NYSE,39831047590.97767,Producer Manufacturing
APTX,Aptinyx Inc.,NASDAQ,211338583.5076923,Health Services
APVO,Aptevo Therapeutics Inc.,NASDAQ,121739290.3705799,Health Technology
APWC,Asia Pacific Wire,NASDAQ,53482119.16751269,Electronic Technology
APXT,Apex Technology Acquisition Corporation,NASDAQ,507092830.30756015,Finance
APYX,Apyx Medical Corporation,NASDAQ,357935321.7680872,Health Technology
AQB,"AquaBounty Technologies, Inc.",NASDAQ,414770996.2953019,Health Technology
AQMS,"Aqua Metals, Inc.",NASDAQ,212974112.211838,Non-Energy Minerals
AQN,Algonquin Power & Utilities Corp.,NYSE,9220451469.006989,Utilities
AQST,"Aquestive Therapeutics, Inc.",NASDAQ,148930024.4359606,Health Technology
AQUA,Evoqua Water Technologies Corp.,NYSE,3826022610.6317406,Industrial Services
AR,Antero Resources Corporation,NYSE,3988117095.5872045,Energy Minerals
ARAV,"Aravive, Inc.",NASDAQ,101328500.00000001,Health Technology
ARAY,Accuray Incorporated,NASDAQ,400088217.5371179,Health Technology
ARC,"ARC Document Solutions, Inc.",NYSE,94809255.71945703,Commercial Services
ARCB,ArcBest Corporation,NASDAQ,1374625556.4931557,Transportation
ARCE,Arco Platform Limited,NASDAQ,1914210521.1566565,Technology Services
ARCH,"Arch Resources, Inc.",NYSE,844844190.8749075,Energy Minerals
ARCO,Arcos Dorados Holdings Inc.,NYSE,1297483689.2418096,Consumer Services
ARCT,Arcturus Therapeutics Holdings Inc.,NASDAQ,923578410.6633226,Health Technology
ARD,Ardagh Group S.A.,NYSE,5559472859.742748,Process Industries
ARDX,"Ardelyx, Inc.",NASDAQ,718602915.0054054,Health Technology
AREC,American Resources Corporation,NASDAQ,154933822.08955222,Energy Minerals
ARES,Ares Management Corporation,NYSE,9280929263.88431,Finance
ARGO,"Argo Group International Holdings, Ltd.",NYSE,1811484085.0000002,Finance
ARKO,ARKO Corp.,NASDAQ,1184552708.4571426,Retail Trade
ARLO,"Arlo Technologies, Inc.",NYSE,570553126.0705563,Consumer Durables
ARLP,"Alliance Resource Partners, L.P.",NASDAQ,844576245.8528138,Energy Minerals
ARMK,Aramark,NYSE,9198292093.975414,Consumer Services
ARNA,"Arena Pharmaceuticals, Inc.",NASDAQ,4066665407.4554214,Health Technology
ARNC,Arconic Corporation,NYSE,3775197039.080479,Non-Energy Minerals
AROC,"Archrock, Inc.",NYSE,1310999553.296875,Industrial Services
ARQT,"Arcutis Biotherapeutics, Inc.",NASDAQ,1373108048.2159543,Health Technology
ARRY,"Array Technologies, Inc.",NASDAQ,2058580307.9938428,Electronic Technology
ARVL,Arrival,NASDAQ,10856276364.234306,Consumer Durables
ARVN,"Arvinas, Inc.",NASDAQ,3878387805.5305777,Health Technology
ARW,"Arrow Electronics, Inc.",NYSE,8199968602.774254,Distribution Services
ARWR,"Arrowhead Pharmaceuticals, Inc.",NASDAQ,8913829215.43382,Health Technology
ASAN,"Asana, Inc.",NYSE,9457891159.011564,Technology Services
ASAQ,Atlantic Street Acquisition Corp,NYSE,304374985.9856115,Finance
ASB,Associated Banc-Corp,NYSE,3111171083.9867053,Finance
ASC,Ardmore Shipping Corporation,NYSE,125674357.97959183,Transportation
ASGN,ASGN Incorporated,NYSE,4957176133.155047,Commercial Services
ASH,Ashland Global Holdings Inc.,NYSE,5291387612.7738,Process Industries
ASIX,AdvanSix Inc.,NYSE,770281984.6884547,Process Industries
ASLE,AerSale Corporation,NASDAQ,521189272.4468171,Distribution Services
ASMB,"Assembly Biosciences, Inc.",NASDAQ,163042276.42206234,Health Technology
ASO,"Academy Sports and Outdoors, Inc.",NASDAQ,3539399759.344718,Retail Trade
ASPL,Aspirational Consumer Lifestyle Corp.,NYSE,299682892.3385078,Finance
ASPN,"Aspen Aerogels, Inc.",NYSE,675303447.6905755,Process Industries
ASPS,Altisource Portfolio Solutions S.A.,NASDAQ,111126706.26647966,Finance
ASPU,Aspen Group Inc.,NASDAQ,152197587.9755672,Consumer Durables
ASTE,"Astec Industries, Inc.",NASDAQ,1342944193.9999998,Producer Manufacturing
ASTS,"AST SpaceMobile, Inc.",NASDAQ,1909692424.855323,Finance
ASUR,Asure Software Inc,NASDAQ,155316390.57212716,Technology Services
ASXC,"Asensus Surgical, Inc.",NYSE ARCA,746197292.8955225,Commercial Services
ASYS,"Amtech Systems, Inc.",NASDAQ,130206283.18873827,Producer Manufacturing
ATAX,"America First Multifamily Investors, L.P. - Beneficial",NASDAQ,387207726.42009133,Finance
ATC,Atotech Limited,NYSE,5016495396.314886,Process Industries
ATCO,Atlas Corp.,NYSE,3277654911.343283,Finance
ATCX,"Atlas Technical Consultants, Inc.",NASDAQ,361982920.35852706,Finance
ATEC,"Alphatec Holdings, Inc.",NASDAQ,1445421484.61911,Health Technology
ATEN,"A10 Networks, Inc.",NYSE,815116306.9714286,Technology Services
ATER,"Aterian, Inc.",NASDAQ,513895378.6082741,Technology Services
ATEX,Anterix Inc.,NASDAQ,1061111557.3786874,Communications
ATGE,Adtalem Global Education Inc.,NYSE,1808932824.5906904,Consumer Services
ATH,Athene Holding Ltd.,NYSE,11934073378.945778,Finance
ATHA,"Athira Pharma, Inc.",NASDAQ,678941381,Health Technology
ATI,Allegheny Technologies Incorporated,NYSE,2676352673.2045765,Non-Energy Minerals
ATIP,"ATI Physical Therapy, Inc. Class A Common Stock",NYSE,407531259.44055945,Health Services
ATKR,Atkore Inc.,NYSE,3171910116.0017033,Producer Manufacturing
ATNF,180 Life Sciences Corp.,NASDAQ,185188809.03732058,Health Technology
ATNM,"Actinium Pharmaceuticals, Inc. (Delaware)",NYSE ARCA,162164811.72004744,Health Technology
ATNX,"Athenex, Inc.",NASDAQ,439509694.8453609,Health Technology
ATO,Atmos Energy Corporation,NYSE,12790170982.23649,Utilities
ATOM,Atomera Incorporated,NASDAQ,566491941.2527562,Commercial Services
ATOS,"Atossa Therapeutics, Inc.",NASDAQ,646410328.7062256,Health Technology
ATR,"AptarGroup, Inc.",NYSE,9206663147.065931,Process Industries
ATRA,"Atara Biotherapeutics, Inc.",NASDAQ,1261991785.9003906,Health Technology
ATRC,"AtriCure, Inc.",NASDAQ,3401219781.942104,Health Technology
ATRO,Astronics Corporation,NASDAQ,541475516.8656958,Electronic Technology
ATRS,"Antares Pharma, Inc.",NASDAQ,697136838.0477325,Health Technology
ATSG,"Air Transport Services Group, Inc",NASDAQ,1698506600.6659558,Transportation
ATUS,"Altice USA, Inc.",NYSE,15504963999.828571,Consumer Services
ATVI,"Activision Blizzard, Inc",NASDAQ,71089261907.22481,Consumer Durables
ATXI,"Avenue Therapeutics, Inc.",NASDAQ,40362843.91544117,Health Technology
ATY,AcuityAds Holdings Inc.,NASDAQ,544914887.6512821,Technology Services
AUB,Atlantic Union Bankshares Corporation,NASDAQ,2806450879.203213,Finance
AUD,Audacy,NYSE,578453573.7499999,Consumer Services
AUDC,AudioCodes Ltd.,NASDAQ,1096883920.9904761,Electronic Technology
AUPH,Aurinia Pharmaceuticals Inc,NASDAQ,1666033593.9141576,Health Technology
AUTO,"AutoWeb, Inc.",NASDAQ,37839095.99999999,Commercial Services
AUUD,Auddia Inc.,NASDAQ,28794164.032258064,Technology Services
AUVI,"Applied UV, Inc.",NASDAQ,96095273.9602649,Health Technology
AUY,Yamana Gold Inc.,NYSE,4210386749.0126586,Non-Energy Minerals
AVA,Avista Corporation,NYSE,3003391535.4050913,Utilities
